title  Photometry data for APASS_J085815.7-430955 from search centered on 134.5651678 -43.16525496 using the apass calibration catalog
Median of Right Ascension  134.56543, rms   0.00273
Median of Declination      -43.16530, rms   0.00141
Median of magcal_magdep        12.70, rms      0.31
Median of magcal_local_rms      0.16, rms      0.26
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	NUMBER	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
2415847.567132	1902.265937	 0.00	 0.00	12.58	  0.00000	  0.00000	  0.0	0.000	am01185	10	0	0	0	2048	-1.000000			11
2415851.544639	1902.276835	12.71	 0.06	14.95	134.56542	-43.16524	-77.7	0.365	b29315	10	0	1349451776	557510	640	0.000700		16,17,18,19,21,22,28,30	7,9
2415852.649397	1902.279861	 0.00	 0.00	11.77	  0.00000	  0.00000	  0.0	0.000	am01197	10	0	0	0	2048	-1.000000			11
2415854.642980	1902.285323	12.37	 0.57	12.39	134.56181	-43.16603	 72.0	0.525	b29348	9	75505664	1349388291	1066922	512	0.000700	13,23,26	0,1,11,17,18,19,21,22,28,30	9
2415869.574932	1902.326233	 0.00	 0.00	12.63	  0.00000	  0.00000	  0.0	0.000	am01217	10	0	0	0	2048	-1.000000			11
2415872.530728	1902.334331	 0.00	 0.00	11.87	  0.00000	  0.00000	  0.0	0.000	am01231	10	0	0	0	2048	-1.000000			11
2415872.580591	1902.334467	 0.00	 0.00	11.56	  0.00000	  0.00000	  0.0	0.000	am01232	10	0	0	0	2048	-1.000000			11
2415880.531046	1902.356249	 0.00	 0.00	11.89	  0.00000	  0.00000	  0.0	0.000	am01243	9	0	0	0	2048	-1.000000			11
2415885.529860	1902.369945	 0.00	 0.00	12.81	  0.00000	  0.00000	  0.0	0.000	am01247	9	0	0	0	2048	-1.000000			11
2415889.510428	1902.380850	12.42	 0.58	12.73	134.56840	-43.16304	 60.6	0.563	b29784	9	75505664	1349388291	393993	512	0.000700	13,23,26	0,1,11,17,18,19,21,22,28,30	9
2415898.504060	1902.405491	 0.00	 0.00	11.93	  0.00000	  0.00000	  0.0	0.000	am01282	10	0	0	0	2048	-1.000000			11
2415899.515181	1902.408261	 0.00	 0.00	11.81	  0.00000	  0.00000	  0.0	0.000	am01291	10	0	0	0	2048	-1.000000			11
2415910.501133	1902.438359	12.77	 0.17	13.55	134.56530	-43.16524	-84.2	0.465	am01316	10	0	1349451776	517267	384	0.000700		16,17,18,19,21,22,28,30	7,8
2415920.495473	1902.465741	12.46	 0.35	12.65	134.56778	-43.16535	-83.0	0.396	am01380	10	8192	1349386240	172475	384	0.000700	13	17,18,19,21,22,28,30	7,8
2416019.880078	1902.738028	 0.00	 0.00	11.71	  0.00000	  0.00000	  0.0	0.000	am01581	10	0	0	0	2048	-1.000000			11
2416032.876751	1902.773635	12.92	 0.33	13.36	134.56578	-43.16548	 33.0	0.308	am01630	10	8192	1349386240	573913	384	0.000700	13	17,18,19,21,22,28,30	7,8
2416073.786308	1902.885716	 0.00	 0.00	12.13	  0.00000	  0.00000	  0.0	0.000	am01700	9	0	0	0	2048	-1.000000			11
2416078.786507	1902.899415	 0.00	 0.00	11.58	  0.00000	  0.00000	  0.0	0.000	am01707	10	0	0	0	2048	-1.000000			11
2416079.780314	1902.902138	 0.00	 0.00	11.54	  0.00000	  0.00000	  0.0	0.000	am01714	9	0	0	0	2048	-1.000000			11
2416087.820454	1902.924166	 0.00	 0.00	12.40	  0.00000	  0.00000	  0.0	0.000	am01733	10	0	0	0	2048	-1.000000			11
2416089.774824	1902.929520	 0.00	 0.00	12.00	  0.00000	  0.00000	  0.0	0.000	am01742	10	0	0	0	2048	-1.000000			11
2416093.779139	1902.940491	 0.00	 0.00	12.70	  0.00000	  0.00000	  0.0	0.000	am01755	10	0	0	0	2048	-1.000000			11
